product name,Current Price,Previous Price, Price Per Each ,Category,Amount,Units
Organic Greek Vanilla Yogurt  ,6.49,6.49,1.00,Yogurt,650,g
Greek Vanilla 3% MF Yogurt,6.99,6.99,0.93,Yogurt,750,g
Blueberry Stirred 1% M.F. Yogurt,2.79,2.79,0.43,Yogurt,650,g
"Vanilla, Blueberry, Strawberry & Raspberry 0% M.F. Stirred Yogurt",4.79,4.79,0.40,Yogurt,1200,g
"Original Yogurt, Banana Cream 6%",3.49,3.49,0.54,Yogurt,650,g
"Probiotic Yogurt, 4X Blueberry, 4X Strawberry & Rhubarb, 8 Pack",5.29,5.29,0.66,Yogurt,800,g
Greek Yogurt Plain Flavour 2% ,5,5,0.67,Yogurt,750,g
"Lactose Free Yogurt, Vanilla 1.5%",3.99,3.99,0.61,Yogurt,650,g
"0% Strawberry, Raspberry, Blueberry, Cherry Yogurt",7.79,7.79,0.49,Yogurt,1600,g
"Probiotic Yogurt, Raspberry/Apple/Blackberry/Strawberry Flavour, 12XG",6.79,6.79,0.57,Yogurt,1200,g
Tubes Yogurt Cotton Candy Flavour 1% M.F.,3.49,3.49,0.78,Yogurt,448,g
Greek Yogurt Cream Berry 8% MF,6.99,6.99,1.08,Yogurt,650,g
"Greek Yogurt, Vanilla 2%",13.49,13.49,0.77,Yogurt,1.75,kg
Creamy Duo Raspberry-Vanilla/Blueberry-Vanilla/Mango-Vanilla/Strawberry-Vanilla 1.5% <MF Yogurt,6.47,6.47,0.40,Yogurt,1600,g
Tubes Yogurt 1% M.F.,3.49,3.49,0.78,Yogurt,448,g
Nanö Drinkable Yogurt Strawberry 1 % M.F.,5.79,5.79,0.64,Yogurt,900,ml
"Vanilla, Blueberry, Strawberry & Raspberry 0% M.F. Stirred Yogurt",4.79,4.79,0.40,Yogurt,1200,g
"Original Yogurt, Banana Cream 6%",3.49,3.49,0.54,Yogurt,650,g
"Probiotic Yogurt, 4X Blueberry, 4X Strawberry & Rhubarb, 8 Pack",5.29,5.29,0.66,Yogurt,800,g
Greek Yogurt Plain Flavour 2% ,5,5,0.67,Yogurt,750,g
"Lactose Free Yogurt, Vanilla 1.5%",3.99,3.99,0.61,Yogurt,650,g
"0% Strawberry, Raspberry, Blueberry, Cherry Yogurt",7.79,7.79,0.49,Yogurt,1600,g
Blueberry Stirred 1% M.F. Yogurt,2.79,2.79,0.43,Yogurt,650,g
Organic Skyr Yogurt 0% Mf Plain,5.99,5.99,1.20,Yogurt,500,g
"Dairy Free Plant Based Almond Yogurt, Vanilla Flavour",6.99,6.99,1.09,Yogurt,640,g
Organic Greek Vanilla Yogurt  ,6.49,6.49,1.00,Yogurt,650,g
"Probiotic Yogurt, Raspberry/Apple/Blackberry/Strawberry Flavour, 12XG",6.79,6.79,0.57,Yogurt,1200,g
Tubes Yogurt Cotton Candy Flavour 1% M.F.,3.49,3.49,0.78,Yogurt,448,g
Organic 14% M.F. Sour Cream,5.49,5.49,1.10,Yogurt,500,g
Alternative Sour Cream,10.99,10.99,2.32,Yogurt,473,ml
Greek Vanilla 3% MF Yogurt,6.99,6.99,0.93,Yogurt,750,g
"Yogurt Duo, Pineapple-Coconut-Banana, Raspberry, Orange-Mandarin, Peach-Mango",7.79,7.79,0.49,Yogurt,1600,g
Balkan Style Yogurt Plain 6% M.F. ,5.49,5.49,1.10,Yogurt,500,g
"Original Balkan Style Yogurt, Cappuccino",3.49,3.49,0.54,Yogurt,650,g
Méditerranée Yogourt Key Lime Pie 9 % M.F.,4.49,4.49,0.90,Yogurt,500,g
Strawberry Banana 1.5 % M.F. Drinkable Yogourt,5.79,5.79,0.58,Yogurt,1,l
Plain 3% M.F. Yogurt,3.49,3.49,0.47,Yogurt,750,g
"Yogurt With Probiotics & Fibre, 3X Vanilla, 3X Blueberry, 3X Peach, 3X Strawberry Kiwi,",6.79,6.79,0.57,Yogurt,1200,g
Plain 1% M.F. Yogurt,3.49,3.49,0.47,Yogurt,750,g
Greek Raspberry 5% MF Yogurt,4.99,4.99,1.25,Yogurt,400,g
"Probiotic Yogurt, Blueberry/Vanilla",6.79,6.79,0.57,Yogurt,1200,g
Lactose Free Strawberry/Raspberry Drinkable Yogurt,1.29,1.29,0.65,Yogurt,200,ml
Sour Cream Organic 14% M.F. ,5.79,5.79,1.16,Yogurt,500,ml
Greek Yogourt Pineapple 2 % M.F.,6.99,6.99,1.08,Yogurt,650,g
Key Lime 2% M.F. Greek Yogurt ,3.99,3.99,1.00,Yogurt,400,g
Source Cherry Yogurt 0% MF,3.49,3.49,0.55,Yogurt,630,g
"Greek Yogurt, Strawberry Raspberry, Fruit On The Bottom, 2% M.F.",4.49,4.49,1.12,Yogurt,400,g
"Organic Kefir, Strawberry",11.29,11.29,0.56,Yogurt,2,l
Passion Fruit Guava Greek Yogurt,5,5,0.77,Yogurt,650,g
Méditerranée Raspbery Cheesecake 9%MF Yogurt,4.49,4.49,0.90,Yogurt,500,g
Banana 2% M.F. Greek Yogurt,3.99,3.99,1.00,Yogurt,400,g
"Biobest Probiotic Yogurt, Plain",3.49,3.49,0.47,Yogurt,750,g
Source Peach Yogurt 0% MF,3.49,3.49,0.55,Yogurt,630,g
Vanilla Skyr Icelandic Style 4% M.F. Yogurt,4.69,4.69,0.94,Yogurt,500,g
"Drinkable Greek Yogurt With Field Berries, Oats, & Seeds, 9G Protein",2.29,2.29,1.21,Yogurt,190,ml
"Organic Yogurt, Blueberry",5.29,5.29,0.81,Yogurt,650,g
Plain Skyr Icelandic Style 0% M.F. Yogurt,4.69,4.69,0.94,Yogurt,500,g
Raspberry Pomegranate 2% M.F. Greek Yogurt,3.99,3.99,1.00,Yogurt,400,g
"Organic Cultured Coconut Milk Yogurt, Alternative Vanilla",5.79,5.79,0.85,Yogurt,680,g
Halal Plain Yogurt 3% MF,2.99,2.99,0.40,Yogurt,750,g
"Greek Yogurt, Variety Pack, Raspberry-Pomegranate / Key Lime / Vanilla / Strawberry Banana, Blended 2% M.F.",10.99,10.99,0.92,Yogurt,1200,g
Dahi,2.99,2.99,0.40,Yogurt,750,g
"Plant Based Dairy Free Coconut Yogurt, Vanilla Flavour, 4 pack",4.69,4.69,4.69,Yogurt,100,g
Plain Greek Yogurt,5,5,0.77,Yogurt,650,g
"0% M.F. Greek Yogurt, Coconut",5,5,0.67,Yogurt,750,g
Méditerranée Black Cherry 9% MF Yogurt,4.49,4.49,0.90,Yogurt,500,g
Strawberry 0% M.F. Greek Yogurt ,3.99,3.99,1.00,Yogurt,400,g
"Greek Yogurt, Plain, No Added Sugar, 2% MF",11.99,11.99,0.80,Yogurt,1.5,kg
"Krema Greek Style Yogurt, Caffé Latt‚",5.29,5.29,1.06,Yogurt,500,g
Minigo 3% MF  Fresh Cheese Blueberry/Strawberry/Vanilla ,3.49,3.49,0.97,Yogurt,360,g
"High Protein Greek Yogurt, Zesty Lemon & Lime Flavour, Blended, Value Tub",7.19,7.19,1.11,Yogurt,650,g
"Immune System, Raspberry Probiotic Yogurt Drink. Lactose Free, 8 Pack",7.19,7.19,0.97,Yogurt,744,ml
"Yogurt With Probiotics Lactose Free, Strawberry, Blueberry, Peach, Mango Flavour, 12XG",6.79,6.79,0.57,Yogurt,1200,g
"Greek Yogurt, Variety Pack, 6X Strawberry, 6X Vanilla, Blended, 2% M.F.",10.99,10.99,0.92,Yogurt,1200,g
Greek Yogourt Black Cherry Raspberry 2% M.F.,6.99,6.99,1.08,Yogurt,650,g
"Drinkable Greek Yogurt With Banana, Oats, & Seeds, 9G Protein",2.29,2.29,1.21,Yogurt,190,ml
"Oat Yogurt Style, Vegan, Dairy-Free, Vanilla",6.99,6.99,1.09,Yogurt,640,g
Organic Plain Kefir Probiotic Fermented 1% M.F. Milk,6.49,6.49,0.65,Yogurt,1,l
"Vegan Yogurt, Plain Coconut",6.49,6.49,1.00,Yogurt,650,g
"Organic Probiotic Yogurt, Coconut",5.29,5.29,0.81,Yogurt,650,g
"Yogurt, Vanilla Cinnamon 3.25% M.F. Creamy Skyr",5.99,6.29,0.92,Yogurt,650,g
"Greek Yogurt, Blackberry Flavour, Fruit On The Bottom",4.49,4.49,1.12,Yogurt,400,g
"Greek Yogurt Limited Edition, Pink Lemonade Flavour, 4X100G",4.49,4.49,1.12,Yogurt,400,g
Greek Black Cherry 2% MF Yogurt ,4.99,4.99,1.25,Yogurt,400,g
"Fat Free Greek Yogurt, 30% Less Sugar, Vanilla Flavour, Blended",4.49,4.49,1.12,Yogurt,400,g
"Tubes Zoo, Strawberry",3.49,3.49,0.78,Yogurt,448,g
Greek Vanilla Large Size 2 % M.F. Yogourt,8.99,8.99,0.90,Yogurt,1,kg
"Probiotic Yogurt, Strawberry/Wildberry/Mango Flavour",6.79,6.79,0.57,Yogurt,1200,g
"Probiotic Smoothie, Mango, Peach & Carrot, Drinkable Yogurt",2.29,2.29,1.21,Yogurt,190,ml
"Plant Based Dairy Free Coconut Yogurt, Strawberry Raspberry Flavour, 4 pack",4.69,4.69,4.69,Yogurt,100,g
Creamy Naturally Flavoured Stirred Yogurt Cups,5.99,5.99,0.37,Yogurt,1600,g
"Krema Greek Style Yogurt, Strawberry",5.29,5.29,1.06,Yogurt,500,g
"Yogurt With Probiotics, Plain 3.2% M/F.",3.79,3.79,0.58,Yogurt,650,g
Creamy Vanilla 1.5% M.F. Yogurt Lactose Free,10.39,10.39,0.52,Yogurt,2,kg
Vanilla 2.9% MF Yogurt,3.79,3.79,0.58,Yogurt,650,g
Plain Skyr Icelandic Style 4% M.F. Yogurt,4.69,4.69,0.94,Yogurt,500,g
Méditerranée Yogourt Mango 9 % M.F.,4.49,4.49,0.90,Yogurt,500,g
Kéfir 1% MF Plain,5.49,5.49,0.55,Yogurt,1000,ml
Source Blueberry/Strawberry/Blackberry/Nectarine  0% MF Yogurt,6.47,6.47,0.40,Yogurt,1600,g
Vanilla Skyr Icelandic Style 0% M.F. Yogurt,4.69,4.69,0.94,Yogurt,500,g
2.5% Heart of Fruit Strawberry-Peach-Vanilla and Raspberry-Lemon-Vanilla Yogurt,7.79,7.79,0.51,Yogurt,1520,g
"Yogurt With Probiotics, Lemon & Pineapple Flavour",5.29,5.29,0.66,Yogurt,800,g
Kéfir 1% MF Strawberry,5.49,5.49,0.55,Yogurt,1000,ml
Plain Greek Yogurt 5%,5,5,0.77,Yogurt,650,g
Milkis Carbonated Drink Refreshing Milk & Yogurt Flavor Original,5.49,5.49,2.20,Soft Drinks,1500,ml
"Fat Free Yogurt, Strawberry, Blueberry, Peach, Vanilla",7.79,7.79,0.49,Yogurt,1600,g
Yop Drinkable Yogurt 1 % M.F.,10.99,10.99,0.46,Yogurt,2400,ml
Tubes Yogurt Raspberry Flavour 1% M.F.,3.49,3.49,0.78,Yogurt,448,g
Vanilla Large Size 9 % M.F. Yogourt,6.99,6.99,0.78,Yogurt,900,g
Grk Ex Crm Vanilla 5%,6.99,6.99,1.08,Yogurt,650,g
Tubes Yogurt 1% M.F.,3.49,3.49,0.78,Yogurt,448,g
Source Raspberry 0% MF,3.49,3.49,0.55,Yogurt,630,g
Strawberry Stirred 1% M.F. Yogurt,2.79,2.79,0.43,Yogurt,650,g
Lactose Free Plain 2%  M.F. Yogurt,3.49,3.49,0.47,Yogurt,750,g
Krema Vanilla Balkan-Style Yogurt 10% M.F.,14.99,14.99,0.86,Yogurt,1.75,kg
"Yogurt With Probiotics, Coconut Flavour",3.79,3.79,0.58,Yogurt,650,g
Original Flavoured Yogourt Raspberry White Chocolate 6% M.F.,3.49,3.49,0.56,Yogurt,625,g
"Immune System, Probiotic Drinkable Yogurt, Vanilla, 8 Bottles",7.19,7.19,0.97,Yogurt,744,ml
"Greek Yogurt, Vanilla",5.29,5.29,0.81,Yogurt,650,g
Oat Based Vegan Delight Plain,6.49,6.49,1.00,Yogurt,650,g
Coconut Milk Vegan Yogurt - Raspberry Blackcurrant,6.49,6.49,1.30,Yogurt,500,g
"Dairy Free Plant Based Coconut Yogurt, Vanilla, Unsweetened",6.99,6.99,1.03,Yogurt,680,g
Oat Based Vegan Delight Strawberry,6.49,6.49,1.30,Yogurt,500,g
"Organic Probiotic Yogurt, Mango",5.29,5.29,0.81,Yogurt,650,g
"Crescents Original Dough, 8 Pieces",1.79,2.49,0.79,Desserts & Doughs,226,g
Butter Puff Pastry,6.79,6.79,1.51,Desserts & Doughs,450,g
Cinnamon Rolls,3.59,3.59,1.02,Desserts & Doughs,351,g
Country Biscuits,3.59,3.59,1.06,Desserts & Doughs,340,g
Crescents - Reduced Fat,1.79,2.49,0.79,Desserts & Doughs,227,g
Easy Roll Pie Crust   ,3.59,3.59,0.90,Desserts & Doughs,400,g
"Wiener Wrap, Regular",1.79,2.49,0.90,Desserts & Doughs,200,g
Deep Dish Pie Shells,4.49,4.49,1.18,Desserts & Doughs,380,g
Grands Cinnamon Rolls Regular   ,4.99,4.99,1.01,Desserts & Doughs,496,g
Chocolatey Chip Cookies,3.59,3.59,0.77,Desserts & Doughs,468,g
Grands! Crescents,3.59,3.59,1.13,Desserts & Doughs,318,g
Pizza Crust,3.59,3.59,0.92,Desserts & Doughs,391,g
Grands Cookie Dough Chocolate Chip,4.99,4.99,1.10,Desserts & Doughs,454,g
Phyllo Pastry,5.49,5.49,1.21,Desserts & Doughs,454,g
Tart Shells,7.79,7.79,1.37,Desserts & Doughs,30,ea
Chub Chocolate Chunk Cookie   ,3.59,3.59,0.77,Desserts & Doughs,468,g
Chocolate Chip Cookie Dough,3.29,3.29,0.70,Desserts & Doughs,468,g
Grands! Cinnamon Rolls Flaky Supreme with Icing,4.99,4.99,1.01,Desserts & Doughs,468,g
Bake It Puff Pastry,6.79,6.79,0.80,Desserts & Doughs,850,g
Reese Cookie Dough,4.99,4.99,1.10,Desserts & Doughs,454,g
Grands! Cinnamon Rolls with Cream Cheese Icing,4.99,4.99,1.01,Desserts & Doughs,496,g
Crescents Flaky Rolls,3.59,3.59,1.06,Desserts & Doughs,340,g
Oatmeal Chocolate Chip Cookie Dough,3.29,3.29,0.70,Desserts & Doughs,468,g
Sweetened Tart Shells,7.79,7.79,1.37,Desserts & Doughs,30,ea
Raw Cookie Dough Chocolate Chunk,4.99,4.99,1.25,Desserts & Doughs,400,g
Pie Shells,4.49,4.49,1.28,Desserts & Doughs,350,g
Sugar Cookies,3.59,3.59,0.77,Desserts & Doughs,468,g
Bake It Filo Pastry Med,4.29,4.29,0.86,Desserts & Doughs,500,g
Gluten Free Pie Crust,8.49,8.49,2.23,Desserts & Doughs,380,g
Raw Cookie Dough Strawberry Confetti,4.99,4.99,1.25,Desserts & Doughs,400,g
Sugar Cookies Ghost,4.99,4.99,1.92,Desserts & Doughs,260,g
Ready To Bake! Monsters Shape Sugar Cookie Dough,4.99,4.99,1.92,Desserts & Doughs,260,g
Sugar Cookies Pumpkin,4.99,4.99,1.92,Desserts & Doughs,260,g
Sour Cream 14%,3,3,0.60,Sour Cream & Dips,500,ml
5% M.F. Light Sour Cream,3,3,0.60,Sour Cream & Dips,500,ml
Sour Cream,4.39,4.39,0.88,Sour Cream & Dips,500,ml
14% M.F. Sour Cream,2.89,2.89,1.16,Sour Cream & Dips,250,ml
"Sour Cream Dip, French Onion",3.99,3.99,1.60,Sour Cream & Dips,250,g
"Sour Cream Dip, French Onion",8.49,8.49,1.25,Sour Cream & Dips,680,g
Sour Cream,5,5,0.50,Sour Cream & Dips,1,l
Cheez Whiz Cheese Spread,5.99,5.99,1.33,Sour Cream & Dips,450,g
Lactose Free 14% M.F. Sour Cream,4.19,4.19,0.84,Sour Cream & Dips,500,ml
14% M.F. Sour Cream,4.29,4.29,0.86,Sour Cream & Dips,500,ml
14% M.F. Sour Cream ,4.79,4.79,0.64,Sour Cream & Dips,750,ml
Light Sour Cream,4.39,4.39,0.88,Sour Cream & Dips,500,ml
Onion Dip,4.19,4.19,1.85,Sour Cream & Dips,227,g
Dill Pickle Dip,4.19,4.19,1.85,Sour Cream & Dips,227,g
Plant Based Sour Cream Alternative,3.59,3.59,1.06,Sour Cream & Dips,340,ml
"Sour Cream Dip, Dill Pickle",3.99,3.99,1.60,Sour Cream & Dips,250,g
Sour Cream,5.79,5.79,0.77,Sour Cream & Dips,750,ml
Onion Dip,6.99,6.99,2.06,Sour Cream & Dips,340,g
Dill Pickle Dip,6.99,6.99,2.06,Sour Cream & Dips,340,g
French Onion Sour Cream Dip ,3,3,1.20,Sour Cream & Dips,250,g
Caramelized Onion Dip,3.99,3.99,1.60,Sour Cream & Dips,250,g
Jalapeno Cheddar Dip,3.99,3.99,1.60,Sour Cream & Dips,250,g
French Onion Dip,4.19,4.19,1.85,Sour Cream & Dips,227,g
Herb & Spice Dip,4.19,4.19,1.85,Sour Cream & Dips,227,g
Good! Sour Cream Dip Herb & Spice,3.99,3.99,1.60,Sour Cream & Dips,250,g
Dill Pickle Sour Cream Dip,3,3,1.20,Sour Cream & Dips,250,g
Herb & Garlic Dip,4.19,4.19,1.85,Sour Cream & Dips,227,g
Herb and Spice Sour Cream Dip,3,3,1.20,Sour Cream & Dips,250,g
14% M.F. Sour Cream ,17.99,17.99,0.45,Sour Cream & Dips,4,l
Cheese Cottage 4 % M.F.,4.59,4.59,0.92,Sour Cream & Dips,500,g
Sour Cream 18% M.F.,4.39,4.39,0.98,Sour Cream & Dips,450,ml
French Onion Greek Yogurt Dip,3.69,3.69,1.63,Sour Cream & Dips,227,g
Everything Bagel Seasoning Sour Cream Dip,3,3,1.20,Sour Cream & Dips,250,g
Herb & Spice Dip,6.99,6.99,2.06,Sour Cream & Dips,340,g
Jalapeno Greek Yogurt Dip,3.69,3.69,1.63,Sour Cream & Dips,227,g
Lactose Free 2% Dairy Product (2L),5.99,5.99,0.30,Lactose Free,2,l
Lactose Free 2% Partly Skimmed Ultrafiltered Milk,6.29,6.29,0.42,Lactose Free,1.5,l
Lactose Free 1% Dairy Product (2L),5.99,5.99,0.30,Lactose Free,2,l
Lactose Free Marble Cheddar ,6.79,6.79,1.70,Lactose Free,400,g
Chocolate Lactose Free 2% Partly Skimmed Ultrafiltered Milk,6.29,6.29,0.42,Lactose Free,1.5,l
Goldfish Cheddar (6 Pack),2.79,2.79,1.66,Crackers & Cookies,168,g
Lactose Free 2% Milk,5.99,5.99,0.30,Lactose Free,2,l
Cheestrings Marble Lactose Free,8.79,8.79,3.49,Lactose Free,252,g
Lactose Free Skim Ultrafiltered Milk,6.29,6.29,0.42,Lactose Free,1.5,l
Lactose Free 1% Partly Skimmed Ultrafiltered Milk,6.29,6.29,0.42,Lactose Free,1.5,l
Lactose Free Whole Ultrafiltered Milk,6.29,6.29,0.42,Lactose Free,1.5,l
"Yogurt With Probiotics Lactose-Free, Vanilla Flavour",3.79,3.79,0.58,Lactose Free,650,g
Lactose Free 14% M.F. Sour Cream,4.19,4.19,0.84,Lactose Free,500,ml
Mini Cheese Crackers,2.99,2.99,1.66,Crackers & Cookies,180,g
Lactose Free Triple Cheddar Shredded Cheese Blend,6.79,6.79,2.12,Lactose Free,320,g
Lactose Free Pizza Mozzarella Shredded Cheese,6.79,6.79,2.12,Lactose Free,320,g
"Yogurt With Probiotics Lactose Free, Vanilla, Strawberry, Raspberry, Cherry Flavour",6.79,6.79,0.57,Lactose Free,1200,g
Lactose Free Old Yellow Cheddar Cheese,6.79,6.79,1.70,Lactose Free,400,g
Lactose Free Fat Free Skim 0% Dairy Product (2L),5.99,5.99,0.30,Lactose Free,2,l
"Yogurt With Probiotics Lactose Free, Strawberry, Blueberry, Peach, Mango Flavour, 12XG",6.79,6.79,0.57,Lactose Free,1200,g
Lactose Free 10% Cream,4.69,4.69,0.47,Lactose Free,1,l
Lactose Free Homogenized Milk,6.29,6.29,0.31,Lactose Free,2,l
Lactose Free 2% M.F. Cottage Cheese,4.29,4.29,0.86,Lactose Free,500,g
Lactose Free 1% Milk,5.99,5.99,0.30,Lactose Free,2,l
Lactose Free Homogenized Milk,5.99,5.99,0.30,Lactose Free,2,l
Lactose Free Plain Cream Cheese ,4.19,4.19,1.68,Lactose Free,250,g
Greek Lactose Free Vanilla 0% MF Yogurt,6.99,6.99,0.93,Lactose Free,750,g
Naturally Lactose-Free Swiss Cheese ,6.79,6.79,2.26,Lactose Free,300,g
Lactose Free Plain 2%  M.F. Yogurt,3.49,3.49,0.47,Lactose Free,750,g
"Tre Stelle Creamy Cheese Spread, Lactose Free",4.69,4.69,2.35,Lactose Free,200,g
"Lactose Free Yogurt, Vanilla 1.5%",3.99,3.99,0.61,Lactose Free,650,g
Cheestrings Mozzarella Lactose Free 18% M.F.,8.79,8.79,3.49,Lactose Free,252,g
"Lactose Free Butter, Salted",6.79,6.79,2.72,Lactose Free,250,g
Lactose Free Lactaid Skim Milk,5.99,5.99,0.30,Lactose Free,2,l
Trutaste Milk 2% M.F. Lactose Free,10.99,10.99,0.27,Lactose Free,4,l
"Lactose Free Yogurt, Strawberry 1.5%",3.99,3.99,0.61,Lactose Free,650,g
Dairy Product Lactose Free 2% M.F.,6.29,6.29,0.42,Lactose Free,1.5,l
Lactose Free Milk,10.99,10.99,0.27,Lactose Free,4,l
Naturali Pompelmo Sparkling Grapefruit Beverage,7.99,7.99,0.40,Water,1980,ml
"Original Cream Cheese, Lactose Free",6.29,6.29,2.52,Lactose Free,250,g
Dairy Product Lactose Free 3.25% M.F.,6.29,6.29,0.42,Lactose Free,1.5,l
Original Cream Cheese,6.29,6.29,2.77,Lactose Free,227,g
"Almond Beverage, Unsweetened Original, Dairy-Free",4.99,4.99,0.26,Non-Dairy Milk Alternatives,1.89,l
"Oat Beverage, Original",4.79,4.79,0.27,Non-Dairy Milk Alternatives,1.75,l
"Almond Beverage, Unsweetened, Vanilla Flavour, Dairy-Free",4.99,4.99,0.26,Non-Dairy Milk Alternatives,1.89,l
"Oat Beverage, Unsweetened, Plant Based, Dairy Free",4.99,4.99,0.29,Non-Dairy Milk Alternatives,1.75,l
"Almond Beverage, Original, Plant Based Dairy-Free Milk",4.99,4.99,0.26,Non-Dairy Milk Alternatives,1.89,l
"Almond Beverage, Unsweetened Original ",4,4,0.21,Non-Dairy Milk Alternatives,1.89,l
"Almond Beverage, Dark Chocolate Flavour",4.99,4.99,0.26,Non-Dairy Milk Alternatives,1.89,l
"Organic Soy Beverage, Unsweetened Original, Dairy-Free",4.99,4.99,0.26,Non-Dairy Milk Alternatives,1.89,l
"Oat Beverage, Vanilla",4.79,4.79,0.27,Non-Dairy Milk Alternatives,1.75,l
Oat Barista,5.99,5.99,0.63,Non-Dairy Milk Alternatives,946,ml
"Coconut Beverage, Unsweetened Original, Dairy-Free",4.99,4.99,0.26,Non-Dairy Milk Alternatives,1.89,l
"Almond Beverage, Vanilla Flavour, Dairy-Free",4.99,4.99,0.26,Non-Dairy Milk Alternatives,1.89,l
"Dairy Free Plant Based Oat Beverage, Original, Plain",4.99,4.99,0.29,Non-Dairy Milk Alternatives,1.75,l
"Creamy Cashew Beverage, Unsweetened Original, Dairy-Free",4.99,4.99,0.26,Non-Dairy Milk Alternatives,1.89,l
 Oat Zero Sugar Beverage,4.79,4.79,0.27,Non-Dairy Milk Alternatives,1.75,l
"Organic Soy Beverage, Original, Dairy-Free",4.99,4.99,0.26,Non-Dairy Milk Alternatives,1.89,l
"Oat Beverage, Original",3.79,3.79,0.40,Non-Dairy Milk Alternatives,946,ml
"Almond Beverage, Unsweetened Vanilla",4,4,0.21,Non-Dairy Milk Alternatives,1.89,l
Organic Almond Beverage Unsweetened Original,4.99,4.99,0.29,Non-Dairy Milk Alternatives,1.75,l
"Oat Beverage, Vanilla, Unsweetened, Dairy-Free",4.99,4.99,0.29,Non-Dairy Milk Alternatives,1.75,l
"Almond Beverage, Unsweetened, Dairy-Free, Shelf Stable",3.29,3.29,0.35,Non-Dairy Milk Alternatives,946,ml
"Almond Breeze Unsweetened Almond Milk, Original",4.79,4.79,0.25,Non-Dairy Milk Alternatives,1.89,l
Natur-A Soy Chocolate Beverage - Mini,3.79,3.79,0.63,Non-Dairy Milk Alternatives,600,ml
"Almond Beverage, Original ",4,4,0.21,Non-Dairy Milk Alternatives,1.89,l
"Creamy Cashew Beverage, Unsweetened, Vanilla Flavour",4.99,4.99,0.26,Non-Dairy Milk Alternatives,1.89,l
"Oat Beverage, Chocolate",4.79,4.79,0.27,Non-Dairy Milk Alternatives,1.75,l
"Almond Coconut Blend Beverage, Unsweetened, Dairy-Free",4.99,4.99,0.26,Non-Dairy Milk Alternatives,1.89,l
"Almond Breeze Natural Almond, Unsweetened",2.99,2.99,0.32,Non-Dairy Milk Alternatives,946,ml
"Organic Soy Beverage, Vanilla Flavour, Dairy-Free",4.99,4.99,0.26,Non-Dairy Milk Alternatives,1.89,l
"Coconut Beverage, Original, Plant Based Dairy-Free Milk",4.99,4.99,0.26,Non-Dairy Milk Alternatives,1.89,l
"Sparkling Drinks, Blood Orange & Orange Blossom",8.29,8.29,0.42,Water,1980,ml
"Protein Almond & Cashew Beverage, Unsweetened Original L",4.99,5.49,0.29,Non-Dairy Milk Alternatives,1.75,l
"Almond Breeze, Unsweetened Vanilla",2.99,2.99,0.32,Non-Dairy Milk Alternatives,946,ml
"Almond Beverage, Vanilla",4,4,0.21,Non-Dairy Milk Alternatives,1.89,l
"Almond Beverage, Unsweetened, Vanilla Flavour, Dairy-Free, Shelf Stable",3.29,3.29,0.35,Non-Dairy Milk Alternatives,946,ml
"Almond Breeze Almond Milk, Unsweetened Vanilla",4.79,4.79,0.25,Non-Dairy Milk Alternatives,1.89,l
"Nextmilk, Plant Based Dairy Free Milk Alternative",4.99,5.49,0.29,Non-Dairy Milk Alternatives,1.74,l
Unsweetened Enrich     ,2.79,2.79,0.29,Non-Dairy Milk Alternatives,946,ml
 Soy Barista ,3.69,3.69,0.39,Non-Dairy Milk Alternatives,946,ml
"Organic Almond Beverage, Unsweetened Vanilla",4.99,4.99,0.29,Non-Dairy Milk Alternatives,1.75,l
"Organic Soy Beverage, Unsweetened Original, Dairy-Free, Shelf Stable",3.29,3.29,0.35,Non-Dairy Milk Alternatives,946,ml
"Oat Beverage, Plant Based, Dairy Free, Vanilla Flavour",4.99,4.99,0.29,Non-Dairy Milk Alternatives,1.75,l
"Almond Beverage, Chocolate",4,4,0.21,Non-Dairy Milk Alternatives,1.89,l
"Oat Beverage, Vanilla",3.79,3.79,0.40,Non-Dairy Milk Alternatives,946,ml
"Protein Almond & Cashew Beverage, Vanilla, Unsweetened, Dairy-Free",4.99,5.49,0.29,Non-Dairy Milk Alternatives,1.75,l
Natur-A Soy Vanilla Beverage - Mini,3.79,3.79,0.63,Non-Dairy Milk Alternatives,600,ml
"Soy Beverage, Chocolate Flavour, Dairy-Free",4.99,4.99,0.26,Non-Dairy Milk Alternatives,1.89,l
Sparkling Drink Lemon & Raspberry,8.29,8.29,0.42,Water,1980,ml
Natur-A  Rice Original,2.99,2.99,0.32,Non-Dairy Milk Alternatives,946,ml
Almond Breeze Original,4.79,4.79,0.25,Non-Dairy Milk Alternatives,1.89,l
Plant Based Unsweetened Beverage   ,4.99,4.99,0.50,Non-Dairy Milk Alternatives,1,l
"Almond Beverage, Chocolate",3.79,3.79,0.40,Non-Dairy Milk Alternatives,946,ml
Plant Based Barista Beverage   ,4.99,4.99,0.50,Non-Dairy Milk Alternatives,1,l
Oat Zero Sugar Beverage Vanilla,3.79,3.79,0.40,Non-Dairy Milk Alternatives,946,ml
"Oat Beverage, Chocolate",4.99,4.99,0.67,Non-Dairy Milk Alternatives,750,ml
"Oat Beverage, Original ",4.99,4.99,0.67,Non-Dairy Milk Alternatives,750,ml
Oat Milk Barista Edition,8.99,8.99,0.95,Non-Dairy Milk Alternatives,964,ml
"Organic Soy Beverage, Original, Dairy-Free, Shelf Stable",3.29,3.29,0.35,Non-Dairy Milk Alternatives,946,ml
